"INCIDENT_ID","OFFENSE_ID","OFFENSE_CODE","OFFENSE_CODE_EXTENSION","OFFENSE_TYPE_ID","OFFENSE_CATEGORY_ID","FIRST_OCCURRENCE_DATE","LAST_OCCURRENCE_DATE","REPORTED_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","GEO_LON","GEO_LAT","DISTRICT_ID","PRECINCT_ID","NEIGHBORHOOD_ID","IS_CRIME","IS_TRAFFIC"
"20186004335","20186004335230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","5/7/2018 10:00:00 PM","5/8/2018 7:00:00 AM","5/8/2018 4:59:00 PM","1618 S PENNSYLVANIA ST","3145982","1675587","-104.98128960","39.68714150","3","313","platt-park","1","0"
"2018310277","2018310277480300","4803","0","police-false-information","all-other-crimes","5/8/2018 9:06:00 PM","","5/9/2018 12:02:00 AM","LEETSDALE DR / S QUEBEC ST","3167834","1679871","-104.90354610","39.69853380","3","322","washington-virginia-vale","1","0"
"2018311720","2018311720739902","7399","2","public-order-crimes-other","all-other-crimes","5/9/2018 1:01:00 PM","","5/9/2018 1:01:00 PM","3300 BLOCK N COLORADO BLVD","3157378","1703351","-104.94018980","39.76317330","2","221","northeast-park-hill","1","0"
"20186004312","20186004312230400","2304","0","theft-parts-from-vehicle","theft-from-motor-vehicle","5/7/2018 4:40:00 PM","5/7/2018 4:45:00 PM","5/8/2018 10:49:00 AM","5320 W 51ST AVE","3125108","1712480","-105.05481640","39.78872370","1","111","regis","1","0"
"2018311256","2018311256230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","5/8/2018 5:00:00 PM","5/9/2018 5:30:00 AM","5/9/2018 9:39:00 AM","3400 BLK N ELM ST","3160311","1703966","-104.92974340","39.76481150","2","221","northeast-park-hill","1","0"
"20186004301","20186004301230400","2304","0","theft-parts-from-vehicle","theft-from-motor-vehicle","5/5/2018 1:10:00 AM","5/5/2018 2:10:00 AM","5/8/2018 8:17:00 AM","1225 S PENNSYLVANIA ST","3145796","1678167","-104.98189820","39.69422710","3","313","platt-park","1","0"
"2018309129","2018309129131300","1313","0","assault-simple","other-crimes-against-persons","5/8/2018 1:41:00 PM","","5/8/2018 4:02:00 PM","2400 BLOCK N KING ST","3131303","1699369","-105.03301240","39.75264660","1","121","sloan-lake","1","0"
"2018309499","2018309499230300","2303","0","theft-shoplift","larceny","5/8/2018 4:21:00 PM","","5/8/2018 4:43:00 PM","560 N CORONA ST","3148097","1689450","-104.97348910","39.725165","3","311","speer","1","0"
"2018295326","2018295326121200","1212","0","robbery-car-jacking","robbery","5/3/2018 1:15:00 AM","","5/3/2018 3:06:00 AM","3000 BLK N LAFAYETTE ST","3148656","1702274","-104.97123650","39.76036020","2","211","whittier","1","0"
"2018310586","2018310586131300","1313","0","assault-simple","other-crimes-against-persons","5/8/2018 11:30:00 PM","","5/9/2018 12:18:00 AM","11TH ST / LARIMER ST","3138965","1697781","-105.00579320","39.74817590","1","123","auraria","1","0"
"2018310282","2018310282544100","5441","0","traffic-accident","traffic-accident","5/8/2018 9:09:00 PM","","5/8/2018 11:18:00 PM","1800 BLK 15TH ST","3139597","1699036","-105.00352130","39.75161170","6","612","union-station","0","1"
"2018308230","2018308230240400","2404","0","theft-of-motor-vehicle","auto-theft","5/7/2018 5:30:00 PM","5/8/2018 7:20:00 AM","5/8/2018 9:16:00 AM","1400 BLOCK N GAYLORD ST","3151600","1694579","-104.96092750","39.73918860","6","622","cheesman-park","1","0"
"2018309601","2018309601230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","5/6/2018 9:30:00 PM","5/7/2018 7:00:00 AM","5/8/2018 4:30:00 PM","1600 BLK N SYRACUSE ST","3169178","1696062","-104.89838890","39.74295680","2","223","east-colfax","1","0"
"2018313011","2018313011400400","4004","0","prostitution-engaging-in","public-disorder","5/9/2018 8:27:00 PM","","5/9/2018 11:20:00 PM","W COLFAX AVE / N VRAIN ST","3127576","1694871","-105.04634740","39.74035060","1","122","west-colfax","1","0"
"20186004360","20186004360230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","5/9/2018 11:00:00 AM","5/9/2018 11:20:00 AM","5/9/2018 5:40:00 PM","4400 W KENYON AVE","3127059","1661183","-105.04878070","39.64787620","4","423","fort-logan","1","0"
"2018309624","2018309624544100","5441","0","traffic-accident","traffic-accident","5/8/2018 4:25:00 PM","","5/9/2018 3:42:00 PM","20TH ST / WELTON ST","3144398","1697835","-104.98647090","39.74824150","6","621","five-points","0","1"
"20186004333","20186004333230800","2308","0","theft-from-bldg","larceny","4/24/2018 3:00:00 PM","4/24/2018 3:00:00 PM","5/8/2018 3:32:00 PM","521 E 14TH AVE","3146122","1694319","-104.98041150","39.73856250","6","623","capitol-hill","1","0"
"20186004323","20186004323230800","2308","0","theft-from-bldg","larceny","4/27/2018 8:45:00 AM","4/27/2018 9:22:00 AM","5/8/2018 1:42:00 PM","370 17TH ST","3143989","1696092","-104.98796040","39.743463","6","611","cbd","1","0"
"2018310523","2018310523739902","7399","2","public-order-crimes-other","all-other-crimes","5/8/2018 11:30:00 PM","","5/9/2018 2:24:00 PM","1499 N BROADWAY ST","3144130","1694794","-104.987485","39.73989750","6","611","civic-center","1","0"
"2018309537","2018309537357200","3572","0","drug-methampetamine-possess","drug-alcohol","5/8/2018 4:00:00 PM","","5/8/2018 5:01:00 PM","490 W COLFAX AVE","3142418","1694739","-104.99357370","39.73977290","6","611","civic-center","1","0"
"2018311962","2018311962230400","2304","0","theft-parts-from-vehicle","theft-from-motor-vehicle","5/8/2018 2:00:00 PM","5/9/2018 11:00:00 AM","5/9/2018 2:22:00 PM","5350 W 52ND AVE","3124993","1713231","-105.05521260","39.79078680","1","111","regis","1","0"
"2018313400","2018313400549900","5499","0","traf-other","all-other-crimes","5/10/2018 12:38:00 AM","","5/10/2018 1:16:00 AM","3500 BLOCK N COLORADO BLVD","3157309","1704487","-104.94041040","39.76629290","2","221","northeast-park-hill","1","0"
"2018313273","2018313273739902","7399","2","public-order-crimes-other","all-other-crimes","5/9/2018 11:10:00 PM","","5/10/2018 12:00:00 AM","1499 N BROADWAY ST","3144130","1694794","-104.987485","39.73989750","6","611","civic-center","1","0"
"20186004329","20186004329239901","2399","1","theft-bicycle","larceny","5/8/2018 2:30:00 PM","5/8/2018 2:30:00 PM","5/8/2018 2:55:00 PM","1460 LITTLE RAVEN ST","3138745","1699884","-105.006535","39.75395230","6","612","union-station","1","0"
"2018248714","2018248714299901","2999","1","criminal-mischief-mtr-veh","public-disorder","4/14/2018 6:05:00 AM","","4/14/2018 6:05:00 AM","1970 N PENNSYLVANIA ST","3146086","1697343","-104.980478","39.74686450","6","621","north-capitol-hill","1","0"
"2018249608","2018249608357200","3572","0","drug-methampetamine-possess","drug-alcohol","4/14/2018 5:51:00 PM","","4/14/2018 7:02:00 PM","W ALAMEDA AVE / S ALCOTT ST","3135909","1684288","-105.01691640","39.71118020","4","412","athmar-park","1","0"
"2018247226","2018247226353200","3532","0","drug-cocaine-possess","drug-alcohol","4/13/2018 3:40:00 PM","","4/13/2018 5:05:00 PM","1100 BLOCK 22ND ST","3143758","1699782","-104.988708","39.75359620","6","611","five-points","1","0"
"2018248233","2018248233739902","7399","2","public-order-crimes-other","all-other-crimes","4/13/2018 11:09:00 PM","","4/13/2018 11:25:00 PM","1499 N BROADWAY ST","3144130","1694794","-104.987485","39.73989750","6","611","civic-center","1","0"
"2018252757","2018252757540100","5401","0","traffic-accident-hit-and-run","traffic-accident","4/16/2018 12:18:00 AM","","4/16/2018 1:13:00 AM","I70 HWYEB / N HAVANA ST","3178275","1708023","-104.86574320","39.77562150","5","512","stapleton","0","1"
"2018251374","2018251374549900","5499","0","traf-other","all-other-crimes","4/15/2018 11:52:00 AM","","4/15/2018 11:52:00 AM","E ALAMEDA AVE / S PENNSYLVANIA ST","3145864","1684321","-104.98153170","39.71112010","3","312","washington-park-west","1","0"
